last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Burdick, Peyton,680814,2022,.205,.387,.296,.283,.182,90,18,35.1,10.5,
Miller, Owen,680911,2022,.246,.341,.291,.307,.095,85.8,10.1,35,3.5,
Donovan, Brendan,680977,2022,.266,.365,.339,.381,.099,87.7,6,32.7,3.4,
Stott, Bryson,681082,2022,.237,.340,.284,.297,.103,88.1,13.1,29.4,4.4,
Bride, Jonah,681146,2022,.217,.300,.282,.314,.084,86.9,11.5,31.8,1.5,
Carpenter, Kerry,681481,2022,.211,.397,.294,.274,.186,87.2,14.5,37.5,11.1,
Villar, David,681584,2022,.187,.325,.283,.294,.138,86.8,17.8,33.3,9.1,
Eaton, Nate,681987,2022,.233,.352,.297,.307,.120,85.8,13.6,43.8,5,
Hensley, David,682073,2022,.250,.427,.349,.360,.177,90.3,-0.4,34.8,4.3,
Abrams, CJ,682928,2022,.241,.316,.266,.277,.075,86.5,6.8,28.6,2.1,
Greene, Riley,682985,2022,.246,.388,.316,.318,.142,89.5,2.8,32,9.3,
Carroll, Corbin,682998,2022,.221,.359,.293,.295,.138,85.8,9.1,34.2,5.5,
Henderson, Gunnar,683002,2022,.250,.432,.338,.341,.181,92.4,2,25.6,9.8,
Stefanic, Michael,683021,2022,.217,.279,.266,.297,.062,84.8,5,28,2,
Baty, Brett,683146,2022,.287,.414,.332,.339,.127,91.1,10,43.3,6.7,
Vaughn, Andrew,683734,2022,.255,.415,.319,.311,.160,90.8,7.5,34.1,7.9,
Pasquantino, Vinnie,686469,2022,.289,.475,.374,.380,.186,91.2,12.1,34.1,8.8,
Lee, Korey,686676,2022,.105,.126,.120,.139,.021,83.6,10.5,12.5,0,
Massey, Michael,686681,2022,.243,.450,.332,.310,.207,89.3,16.4,35.1,13,
Brennan, Will,686823,2022,.287,.421,.324,.336,.134,89.8,5.4,34.2,5.3,
Grissom, Vaughn,687093,2022,.259,.412,.326,.328,.153,84.6,9,35.2,7.4,
Cabrera, Miguel,408234,2023,.238,.340,.298,.320,.102,88.8,4.8,33.5,4.3,
Cruz Jr., Nelson,443558,2023,.240,.414,.297,.279,.174,92.4,10.2,33.7,9.2,
Peralta, David,444482,2023,.291,.440,.333,.326,.150,90.7,8.9,32.6,6.6,
Longoria, Evan,446334,2023,.249,.515,.355,.317,.266,93.2,17.5,39.4,13.5,
Blackmon, Charlie,453568,2023,.258,.406,.334,.344,.148,86.1,19.7,40.3,6.1,
Maldonado, Martin,455117,2023,.183,.340,.262,.251,.157,88.8,17.1,32.9,9,
Solano, Donovan,456781,2023,.283,.411,.353,.382,.128,90.5,13,43.3,5.7,
McCutchen, Andrew,457705,2023,.262,.406,.355,.385,.144,89.6,12.6,35,6.8,
Turner, Justin,457759,2023,.267,.466,.348,.338,.199,89.8,15.4,35.6,6,
Votto, Joey,458015,2023,.199,.439,.326,.307,.239,91.4,15.5,25,15.9,
Andrus, Elvis,462101,2023,.236,.314,.280,.307,.078,87.3,7,32.8,2.5,
Santana, Carlos,467793,2023,.238,.366,.306,.320,.128,89.2,12.5,34.3,5.8,
Belt, Brandon,474832,2023,.206,.394,.323,.332,.189,88.7,19.1,45.4,12.5,
Gurriel, Yuli,493329,2023,.244,.325,.282,.308,.081,88.4,18.1,36.2,1.4,
Rojas, Miguel,500743,2023,.255,.343,.293,.310,.088,87.7,12,37,2.6,
Escobar, Eduardo,500871,2023,.223,.323,.263,.272,.100,86.7,14.1,32.2,4.6,
Pham, Tommy,502054,2023,.289,.505,.380,.372,.216,92.8,7.8,35.5,12.4,
Martinez, J.D.,502110,2023,.270,.559,.375,.326,.289,93.1,18.3,41.7,17.4,
Goldschmidt, Paul,502671,2023,.277,.504,.374,.365,.227,91.6,12.8,34.2,11.7,
Leon, Sandy,506702,2023,.137,.197,.172,.178,.060,85.2,17.7,40.9,4.5,
Altuve, Jose,514888,2023,.254,.435,.350,.357,.181,87.5,11.2,32.8,8.6,
Segura, Jean,516416,2023,.237,.335,.280,.294,.099,88,2.9,22.4,3.5,
Marte, Starling,516782,2023,.263,.404,.315,.315,.141,88.2,6.3,30.6,5.6,
d'Arnaud, Travis,518595,2023,.260,.488,.352,.327,.228,90.4,7.6,40,11.2,
Donaldson, Josh,518626,2023,.217,.538,.349,.293,.321,92.8,11.1,25,19.7,
Freeman, Freddie,518692,2023,.324,.584,.417,.404,.261,90.3,15.9,47.1,12.3,
Grandal, Yasmani,518735,2023,.222,.338,.283,.294,.116,88.1,10.2,32.9,6,
Heyward, Jason,518792,2023,.229,.396,.322,.332,.166,88.3,15.3,33.3,9.1,
LeMahieu, DJ,518934,2023,.256,.388,.317,.330,.132,90,4.2,31.4,5.4,
Moustakas, Mike,519058,2023,.237,.407,.310,.306,.170,89.3,18,29.7,7.6,
Rizzo, Anthony,519203,2023,.244,.391,.319,.328,.147,90,17.8,41.2,6.9,
Stanton, Giancarlo,519317,2023,.236,.523,.352,.311,.287,93.4,11.8,28.8,15.9,
Perez, Salvador,521692,2023,.260,.462,.329,.305,.203,90.4,15.9,36.6,10.3,
Flores, Wilmer,527038,2023,.258,.435,.328,.322,.177,86,25.1,37.1,7.5,
Garcia, Avisail,541645,2023,.227,.405,.296,.283,.179,90.1,11.1,24.1,12.1,
Bethancourt, Christian,542194,2023,.216,.379,.272,.250,.163,89.2,11.6,27.7,8.7,
Perez, Carlos,542208,2023,.255,.390,.310,.316,.135,89.4,17.5,32.7,5.9,
Ozuna, Marcell,542303,2023,.257,.534,.371,.332,.277,91.5,14.9,30.2,15.5,
Aguilar, Jesus,542583,2023,.184,.313,.244,.250,.129,86.7,16.3,33.8,6.8,
Berti, Jon,542932,2023,.282,.394,.312,.322,.112,86.5,4.2,30.3,4.2,
Crawford, Brandon,543063,2023,.217,.373,.288,.286,.156,89.4,12.5,32.1,9.9,
